2020-03-30 10:54:55.141 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-30 10:54:55.223 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-30 10:54:55.382 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Now listening on: http://localhost:5000
2020-03-30 10:54:55.386 | 1 | INFO | OperacionesApi | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-30 10:54:56.813 | 1 | INFO | OperacionesApi | Infra.Data.DataAccessRegistry | ExpirationEnabled [true], ExpirationPollFrecuency [1800]sec, ExpirationTime [3600]sec.
2020-03-30 10:54:56.820 | 1 | INFO | OperacionesApi | Infra.Data.Cache.ExpirationPollTimer | Starting expiration pulling... Polling will be execute every [1800] seconds.
2020-03-30 10:54:57.165 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | Subscribe to PedidosDeAlmacen/Traza/PedidoCreado
2020-03-30 10:54:57.276 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | Not subscribed to Andreani.Integracion.Eventos.Almacenes.PedidoCreado: Handler Type PedidoCreadoHandler already registered for 'PedidosDeAlmacen/Traza/PedidoCreado'
Parameter name: handlerType
2020-03-30 10:54:57.430 | 1 | INFO | OperacionesApi | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-30 10:54:57.439 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 10:54:57.443 | 1 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-30 10:54:57.462 | 6 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 10:54:57.462 | 7 | INFO | OperacionesApi | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BULPYMED.TEST.REQ
2020-03-30 10:56:13.694 | 14 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/api-docs  
2020-03-30 10:56:13.869 | 14 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request finished in 184.5042ms 301 
2020-03-30 10:56:13.879 | 7 | INFO | OperacionesApi | Microsoft.AspNetCore.Hosting.Internal.WebHost | Request starting HTTP/1.1 GET http://localhost:5000/api-docs/  
