2020-03-31 09:54:23.434 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Try to start Server in Version: 1.0.0.0
2020-03-31 09:54:23.517 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart()
2020-03-31 09:54:23.628 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Now listening on: http://localhost:5001
2020-03-31 09:54:23.631 | 1 | INFO | Calculadora | Infra.WebHost.Startup | Environment Name: [Development]
2020-03-31 09:54:24.327 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | Subscribe to PedidosDeAlmacen/Traza/PedidoAsignado
2020-03-31 09:54:24.440 | 1 | INFO | Calculadora | Infra.Full.Configuration.ServiceWrapper | Informing Listeners about OnStart() returned
2020-03-31 09:54:24.448 | 1 | INFO | Calculadora | Infra.EventBus.IbmMQ.QueueConsumerService | StartReceiving from Queue.
2020-03-31 09:54:24.468 | 7 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BORRARME.REQ
2020-03-31 09:54:28.452 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 09:54:30.579 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 09:54:34.699 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:01:35.554 | 8 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-30T23:35:59.3209037-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">4d17198d-1555-4d26-ab2f-8ba90a7f4f66</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>98</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>c795e</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:01:35.624 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | MQ Connection broken. Forcing reconnect.
CompCode: 2, Reason: 2009
2020-03-31 10:01:35.628 | 8 | INFO | Calculadora | Infra.EventBus.IbmMQ.IbmMQManagedConnection | Connecting to IBM MQ GA02.AR.T.QM - Channel ITG.TO.GA02.TEST - Connection Info 192.6.6.39(1416) - Queue QL.BORRARME.REQ
2020-03-31 10:04:42.214 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:04:44.375 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:04:48.616 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:05:03.557 | 8 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-30T23:35:59.3209037-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">4d17198d-1555-4d26-ab2f-8ba90a7f4f66</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>98</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>c795e</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:05:18.643 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:05:20.785 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:05:24.923 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:08:47.711 | 8 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-30T23:36:24.1292732-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">1a22a3f8-bd42-45c6-8a8f-8779a3577605</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>7</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>31820</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:08:52.729 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:08:54.852 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:08:58.985 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:09:10.590 | 8 | EROR | Calculadora | Calculadora.Handlers.PedidoAsignadoHandler | Se produjo un error al procesar el evento de negocio: <PedidoAsignado xmlns="http://integracion.andreani.com/eventosDeAlmacenes" xmlns:i="http://www.w3.org/2001/XMLSchema-instance"><timestamp xmlns="http://integracion.andreani.com/eventosDeIntegracion">2020-03-30T23:36:40.4185294-03:00</timestamp><remitente xmlns="http://integracion.andreani.com/eventosDeIntegracion">OPERACIONES-API</remitente><destinatario xmlns="http://integracion.andreani.com/eventosDeIntegracion">QL.BORRARME.REQ</destinatario><numeroDeOrden xmlns="http://integracion.andreani.com/eventosDeIntegracion">88e8f952-f933-4cc7-88ae-0817486131b3</numeroDeOrden><vencimiento xmlns="http://integracion.andreani.com/eventosDeIntegracion">9999-12-31T23:59:59.9999999</vencimiento><numeroDePedido/><cuando/><codigoDeContratoInterno>35</codigoDeContratoInterno><estadoDelPedido>117</estadoDelPedido><cicloDelPedido>sumar</cicloDelPedido><cuentaCorriente>dec55</cuentaCorriente><topic>PedidosDeAlmacen/Traza/PedidoAsignado</topic></PedidoAsignado>: detalle del error:Exception has been thrown by the target of an invocation.
2020-03-31 10:09:12.794 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:09:14.924 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
2020-03-31 10:09:19.050 | 8 | WARN | Calculadora | Infra.EventBus.IbmMQ.EventBusIbmMQ | CompCode: 2, Reason: 2085
